"county_fips","pop","avg_age","prop_less_5","prop_5_17","prop_larger_18","prop_gender","prop_employment"
51001,30923,44.4487274843967,0.0457264819066714,0.149856094169388,0.80441742392394,0.479578307408725,0.375901432590628
51003,93569,41.1914522972352,0.0507112398337056,0.155724652395558,0.793564107770736,0.477070397246951,0.290491508939927
51005,15533,43.5436811948754,0.0479624026266658,0.162943410802807,0.789094186570527,0.469645271357754,0.374943668319063
51007,11764,42.8482658959538,0.0468378102686161,0.152159129547773,0.801003060183611,0.496854811288677,0.330669840190411
51009,28721,42.5672852616552,0.0528533129069322,0.159674106054803,0.787472581038265,0.478012604017966,0.348455833710525
51011,14645,41.4645271423694,0.0589962444520314,0.166268350973028,0.77473540457494,0.473608740184363,0.334585182656197
51013,215515,36.7879080342436,0.0526691877595527,0.1278147692736,0.819516042966847,0.47912210286987,0.195972438113356
51015,70023,42.2783513988261,0.0551961498364823,0.162703683075561,0.782100167087957,0.482684260885709,0.313054282164432
51017,4032,43.7512400793651,0.0411706349206349,0.145089285714286,0.813740079365079,0.490823412698413,0.332093253968254
51019,69666,42.8729365831252,0.0512445095168375,0.156690494645882,0.792064995837281,0.482803663192949,0.33577354807223
51021,5903,44.3874301202778,0.0447230221921057,0.137726579705235,0.81755039810266,0.486193460952058,0.370658986955785
51023,31766,43.6607378958635,0.0469369766416924,0.148019895485739,0.805043127872568,0.481615563810363,0.330856891015551
51025,13612,43.4761974728181,0.0479723773141346,0.155010285042609,0.797017337643256,0.477960622979724,0.377975315897737
51027,20460,43.6069403714565,0.0492179863147605,0.146969696969697,0.803812316715543,0.477859237536657,0.476490713587488
51029,13534,42.3843653022019,0.0521649179843357,0.160115265257869,0.787719816757795,0.487069602482636,0.352002364415546
51031,53521,41.2751069673586,0.0550624988322341,0.155920106126567,0.789017395041199,0.464621363576914,0.329123147923245
51033,28339,39.3092557958996,0.0534951833162779,0.193161367726455,0.753343448957267,0.477469212039945,0.318359857440277
51035,27792,44.6295696603339,0.0434657455382844,0.137017846862406,0.819516407599309,0.48639896373057,0.39058002302821
51036,6484,46.1511412708205,0.0399444787168415,0.12954966070327,0.830505860579889,0.467458359037631,0.35919185687847
51037,9818,45.1451415766959,0.0420655938072927,0.141271134650642,0.816663271542066,0.477795885108984,0.397229578325525
51041,308753,39.0607929315667,0.0539395568626054,0.186304262630647,0.759756180506748,0.476027763292988,0.251408083484209
51043,13416,43.048747763864,0.0504621347644603,0.158467501490757,0.791070363744782,0.48546511627907,0.298598688133572
51045,5258,43.0464054773678,0.0484975275770255,0.155762647394447,0.795739825028528,0.474324838341575,0.330924305819703
51047,46814,38.5826034946811,0.0656641175716666,0.195368906737301,0.738966975691033,0.480753620711753,0.284231212885034
51049,9779,41.4431946006749,0.0599243276408631,0.159730033745782,0.780345638613355,0.487473156764495,0.350035790980673
51051,13976,42.5369919862622,0.055881511161992,0.151545506582713,0.792572982255295,0.47610188895249,0.466800228963938
51053,24931,41.7566082387389,0.0562753198828767,0.161245036300189,0.782479643816935,0.47531186073563,0.332838634631583
51057,9959,44.2380761120594,0.0443819660608495,0.142885831910834,0.812732202028316,0.486394216286776,0.356260668741842
51059,1056741,38.1169595955868,0.0603023825137853,0.183650487678627,0.756047129807588,0.488461221813103,0.239437099535269
51061,64296,40.2940462859276,0.0564576334453154,0.172716809754884,0.770825556799801,0.488926216249844,0.265381983327112
51063,15022,43.0968579416855,0.0438024231127679,0.153375049926774,0.802822526960458,0.486286779390228,0.355611769404873
51065,24109,41.8138039736198,0.0542535982413207,0.165539839893816,0.780206561864864,0.481148118959725,0.298311833755029
51067,54225,43.165938220378,0.0498847395112955,0.16169663439373,0.788418626094975,0.47491009681881,0.357436606731213
51069,78063,40.1014949463895,0.0617193805003651,0.174743476422889,0.763537143076746,0.484173039724325,0.267655611493281
51071,16614,42.570001203804,0.0435175153485013,0.15414710485133,0.802335379800169,0.485072830143253,0.355483327314313
51073,36233,42.2029917478542,0.0504236469516739,0.158115530041675,0.791460823006651,0.484365081555488,0.318963375928021
51075,20922,43.5034891501768,0.0412962431889877,0.16461141382277,0.794092342988242,0.489054583691808,0.294665901921422
51077,14256,45.3937991021324,0.0415965207631874,0.14246632996633,0.815937149270483,0.474817620650954,0.409371492704826
51079,19021,38.3870458966406,0.0557278797118974,0.19562588717733,0.748646233110772,0.46837705693707,0.279428000630882
51081,8700,40.3022988505747,0.0674712643678161,0.16183908045977,0.770689655172414,0.456781609195402,0.343908045977011
51083,31842,44.4189121286351,0.0454117203693235,0.143395515357076,0.811192764273601,0.478487532190189,0.387381445889077
51085,98434,41.0329560924071,0.0524310705650487,0.176118008005364,0.771450921429587,0.492177499644432,0.267377125789869
51087,298353,39.2562534983727,0.0564499100059326,0.1721316695324,0.771418420461668,0.460139499183853,0.250109769300124
51089,50387,43.6330799611011,0.0512235298787386,0.150455474626392,0.79832099549487,0.469704487268541,0.380236965884057
51091,2259,54.2961487383798,0.0261177512173528,0.0845506861443116,0.889331562638336,0.455068614431164,0.464364763169544
51093,34692,41.4789288596795,0.0547964948691341,0.16260232906722,0.782601176063646,0.482272570044967,0.311743341404358
51095,66385,44.5436770354749,0.0395119379377872,0.16023198011599,0.800256081946223,0.471085335542668,0.366393010469233
51097,6772,42.9998523331364,0.055227406969876,0.160218546958063,0.784554046072061,0.484199645599527,0.346278795038393
51099,24566,37.8912724904339,0.056785801514288,0.195839778555727,0.747374419929985,0.488683546364895,0.259138646910364
51101,16034,39.5737183485094,0.0626169390046152,0.180491455656729,0.756891605338655,0.489834102532119,0.274354496694524
